label,email_text,subject,has_attachment,links_count,sender_domain,urgent_keywords
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Please find the attached invoice for last month.,Invoice - April 2025,1,0,vendorcorp.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,Win a free vacation to the Bahamas!,Congratulations Winner!,0,4,travelprizes.org,1
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
phishing,Your Netflix account has been suspended.,Netflix Account Notice,0,1,netflixsupport.com,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
phishing,Update your credentials to maintain access.,Action Required: Update Info,0,1,loginverify.org,1
legitimate,Thanks for your help on the presentation.,Great Work!,0,0,coworker.com,0
legitimate,Lunch at 1 PM today?,Lunch Plans,0,0,colleague.com,0
legitimate,Family reunion this weekend. See you there!,Reunion Invite,0,0,familymail.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Reset your password now to avoid lockout.,Password Reset Required,0,1,account-secure.com,1
phishing,Claim your free iPhone today! Limited stock.,Exclusive Giveaway,0,3,techpromo.net,1
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Confirm your email to continue using our service.,Email Confirmation Needed,0,2,mailaccess.org,1
legitimate,Project update and timeline adjustments.,Project Timeline,0,0,company.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
phishing,Immediate action required for your credit card.,Credit Card Alert,1,2,bankalert.com,1
phishing,Your tax refund is ready. Submit your info.,Tax Refund Notification,1,2,irs-update.net,1
phishing,We've noticed suspicious activity on your account.,Unusual Login Attempt,1,2,alert-login.com,1
legitimate,Team meeting rescheduled to Tuesday.,Meeting Update,0,0,company.com,0
phishing,Your account is on hold. Log in now to avoid suspension.,Security Alert,0,2,secure-bank-login.com,1
legitimate,Reminder: Submit your report by Friday.,Report Submission Reminder,0,0,manager.com,0
legitimate,Here's the article I mentioned yesterday.,Interesting Read,0,1,newsdaily.com,0
legitimate,Happy Birthday! Enjoy your day!,Birthday Wishes,0,0,hr-department.com,0
legitimate,Monthly newsletter - May Edition,Company Newsletter,0,1,company.com,0
